                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0321,                0.67311,                0.84479,                0.99749,                0.99626,                0.99493,                0.68854,                 1.0779,                0.62091,                0.82885,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.0172,                 0.6431,                0.85468,                0.99497,                0.99611,                 0.9949,                0.69445,                 1.0618,                0.62373,                0.82652,             0.00047306,             0.00047306,             0.00047306
                     60,                0.98188,                0.63662,                 0.8507,                0.98857,                0.99569,                0.99439,                0.69854,                 1.0809,                0.63994,                0.83334,             0.00046206,             0.00046206,             0.00046206
                     61,                  1.019,                0.63982,                0.86569,                0.98621,                0.99513,                0.99434,                0.69575,                  1.082,                0.63986,                0.83772,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.0211,                0.65066,                0.86591,                0.99431,                0.99184,                0.99475,                0.68929,                 1.0932,                0.65491,                0.83293,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.0112,                0.63263,                0.86637,                0.99555,                0.99488,                0.99484,                0.68948,                 1.0931,                0.64782,                0.82972,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.0017,                0.62783,                0.85519,                0.99506,                0.99957,                  0.995,                0.68968,                 1.0799,                 0.6207,                0.82958,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.0279,                0.64338,                0.85606,                0.99296,                0.99589,                0.99497,                 0.6889,                 1.0859,                0.61852,                0.83308,             0.00040707,             0.00040707,             0.00040707
                     66,                 0.9712,                0.62304,                0.85483,                0.99765,                0.99819,                  0.995,                0.70021,                 1.0588,                0.61166,                0.83102,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.0148,                0.61519,                0.85065,                0.99079,                0.99998,                0.99491,                0.70504,                 1.0574,                  0.615,                0.82795,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.0231,                0.63979,                0.85357,                0.99155,                0.99268,                0.99483,                0.70191,                 1.0652,                0.62775,                0.82778,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.0265,                  0.635,                0.84982,                 0.9961,                0.99682,                  0.995,                0.69895,                 1.0823,                0.64167,                0.83073,             0.00036307,             0.00036307,             0.00036307
                     70,                0.97189,                0.62265,                0.85604,                0.99359,                0.99649,                0.99497,                0.70272,                  1.077,                0.65707,                0.83138,             0.00035208,             0.00035208,             0.00035208
                     71,                0.95795,                0.60542,                0.85282,                0.99351,                0.99649,                0.99497,                0.70948,                 1.0724,                  0.671,                0.83131,             0.00034108,             0.00034108,             0.00034108
                     72,                  0.995,                 0.6184,                0.85946,                0.99466,                0.99209,                 0.9949,                0.70508,                 1.0813,                0.65042,                0.83598,             0.00033008,             0.00033008,             0.00033008
